# How often are certificates being renewed. Get amount, the first and last month of the not_before for grouped certificates.

+------+----------------+---------------+-------+
|interv|first_year_month|last_year_month|count  |
|2     |201903          |201907         |84378  |
|2     |201905          |201909         |84177  |
|2     |201906          |201910         |82365  |
|4     |201908          |202005         |81828  |
|7     |201903          |202006         |81586  |
|3     |201909          |201912         |80216  |
|8     |201903          |202003         |79702  |
|3     |201910          |202005         |79656  |
|2     |201902          |201906         |78784  |
|3     |201903          |202001         |78765  |
|3     |201912          |202005         |78277  |
|3     |201902          |201910         |76721  |
|3     |201903          |201911         |75987  |
|5     |201904          |202005         |75327  |
|2     |201904          |201908         |75036  |
|4     |201910          |202005         |74992  |
|2     |201911          |201912         |74413  |
|4     |201909          |202004         |74349  |
|6     |201905          |202004         |74321  |
|3     |201903          |201906         |71875  |
|5     |201905          |202003         |71698  |
|5     |201906          |202003         |71281  |
|5     |201905          |202005         |71005  |
|9     |201902          |202006         |70412  |
|5     |201906          |202005         |69530  |
|3     |201910          |202004         |68448  |
|5     |201908          |202005         |68201  |
|2     |201904          |201911         |66911  |
|2     |201903          |201904         |65946  |
|5     |201907          |202004         |65589  |
|3     |201911          |202004         |64175  |
|2     |201907          |201910         |63489  |
|4     |201908          |202004         |63124  |
|2     |202002          |202006         |62789  |
|2     |201912          |202004         |62495  |
|2     |201906          |201909         |62406  |
|2     |201907          |201911         |61612  |
|3     |201904          |201907         |61333  |
|6     |201906          |202005         |61223  |
|6     |201902          |202004         |57911  |
|4     |201907          |202003         |56340  |
|8     |201903          |202006         |56024  |
|3     |201909          |202003         |55377  |
|2     |201910          |202002         |54305  |
|2     |201904          |201912         |53727  |
|7     |201902          |201912         |53650  |
|4     |201902          |201911         |53552  |
|2     |201904          |201905         |53475  |
|3     |201905          |201910         |52878  |
|3     |201912          |202006         |51519  |
|4     |201910          |202006         |51421  |
|5     |201907          |202002         |50458  |
|4     |201907          |202005         |50400  |
|3     |201909          |202005         |50287  |
|4     |201905          |202002         |50071  |
|5     |201904          |202004         |49984  |
|2     |201903          |201909         |49666  |
|9     |201902          |202003         |49169  |
|2     |201907          |202001         |46155  |
|2     |201904          |201910         |45121  |
|8     |201903          |202002         |44730  |
|2     |201905          |201911         |43887  |
|4     |201910          |202003         |43862  |
|4     |201904          |202002         |43659  |
|2     |202004          |202006         |42978  |
|5     |201906          |202004         |42397  |
|4     |201903          |202005         |42313  |
|2     |201902          |201908         |42248  |
|9     |201903          |202005         |41615  |
|4     |201903          |202003         |40582  |
|4     |201909          |202002         |40575  |
|4     |201902          |202001         |40257  |
|5     |201908          |202006         |39197  |
|2     |201902          |201903         |39135  |
|6     |201906          |202003         |38747  |
|2     |201911          |202005         |38505  |
|5     |201908          |202003         |38400  |
|6     |201902          |201911         |38309  |
|4     |201902          |201907         |38120  |
|5     |201902          |201909         |38092  |
|4     |201905          |202005         |38076  |
|8     |201904          |202006         |37810  |
|3     |201906          |202001         |37782  |
|3     |201905          |201908         |36908  |
|4     |201905          |201910         |36881  |
|4     |201905          |202003         |36554  |
|3     |201912          |202003         |36307  |
|3     |201911          |202002         |35568  |
|3     |201903          |201910         |35551  |
|6     |201904          |201912         |35506  |
|2     |201911          |202003         |35278  |
|3     |201902          |201905         |35232  |
|9     |201903          |202003         |34253  |
|3     |201905          |201912         |33306  |
|6     |201906          |202006         |32709  |
|3     |201904          |202001         |31852  |
|5     |201907          |202006         |31697  |
|2     |201905          |202001         |31489  |
|3     |201907          |201910         |31218  |
|2     |201902          |201912         |31112  |
|3     |201904          |201911         |30380  |
|2     |201907          |201908         |30323  |
|4     |201902          |202002         |29905  |
|2     |201910          |201911         |29821  |
|2     |201908          |202002         |29702  |
|3     |201906          |202002         |29691  |
|10    |201902          |202005         |28915  |
|2     |202001          |202002         |28506  |
|3     |201903          |201912         |27774  |
|4     |201906          |202005         |27229  |
|5     |201902          |202005         |27083  |
|2     |201909          |201910         |26889  |
|2     |201905          |201906         |26381  |
|2     |201908          |202001         |26291  |
|2     |201903          |202001         |26272  |
|2     |201903          |201911         |25954  |
|2     |201908          |201909         |25824  |
|4     |201906          |202003         |25823  |
|5     |201905          |202004         |25591  |
|3     |201907          |202002         |25389  |
|2     |201902          |201910         |25213  |
|7     |201903          |201912         |25003  |
|6     |201903          |202006         |24814  |
|3     |201904          |202002         |24775  |
|2     |202001          |202006         |24756  |
|3     |201907          |202003         |24418  |
|7     |201902          |202006         |24313  |
|2     |201907          |201912         |24189  |
|4     |201903          |202002         |24144  |
|4     |201902          |201906         |23934  |
|9     |201902          |202004         |23911  |
|3     |201903          |202003         |23770  |
|4     |201906          |201911         |22740  |
|3     |201905          |202003         |22680  |
|8     |201903          |202001         |22601  |
|3     |201903          |202005         |22490  |
|6     |201904          |202006         |22371  |
