# How often are certificates being renewed. Get amount, the first and last month of the not_before for grouped certificates.

+------+----------------+---------------+-------+
|interv|first_year_month|last_year_month|count  |
|2     |202005          |202005         |124    |
|8     |201910          |202005         |122    |
|7     |201911          |202005         |121    |
|8     |201909          |202004         |120    |
|8     |201910          |202006         |119    |
|15    |201903          |202005         |116    |
|4     |201911          |202001         |113    |
|11    |201906          |202006         |112    |
|2     |201903          |201903         |103    |
|13    |201903          |202002         |96     |
|9     |201909          |202005         |86     |
|4     |201903          |201905         |85     |
|2     |202003          |202003         |84     |
|2     |201912          |201912         |84     |
|11    |201906          |202004         |81     |
|2     |202001          |202001         |80     |
|14    |201904          |202006         |79     |
|2     |201910          |201910         |78     |
|4     |202003          |202006         |77     |
|13    |201905          |202005         |71     |
|9     |201908          |202004         |69     |
|10    |201907          |202004         |69     |
|11    |201907          |202006         |68     |
|12    |201905          |202004         |67     |
|11    |201907          |202005         |66     |
|13    |201905          |202006         |65     |
|2     |201908          |201908         |58     |
|10    |201908          |202005         |54     |
|3     |201903          |201904         |51     |
|10    |201908          |202006         |50     |
|6     |201903          |201907         |50     |
|14    |201904          |202005         |49     |
|7     |201903          |201908         |44     |
|8     |201903          |201909         |43     |
|2     |201907          |201907         |41     |
|13    |201904          |202004         |39     |
|12    |201906          |202005         |39     |
|12    |201906          |202006         |38     |
|9     |201907          |202002         |34     |
|12    |201904          |202002         |34     |
|5     |201903          |201906         |34     |
|14    |201903          |202003         |32     |
|11    |201905          |202002         |31     |
|3     |202004          |202005         |30     |
|3     |201911          |201912         |27     |
|7     |201907          |201912         |26     |
|2     |201905          |201905         |26     |
|4     |201912          |202002         |25     |
|4     |201910          |201912         |24     |
|6     |201908          |201912         |23     |
|8     |201904          |201910         |22     |
|3     |202003          |202004         |20     |
|10    |201906          |202002         |19     |
|4     |202003          |202005         |19     |
|4     |201908          |201910         |18     |
|9     |201904          |201911         |18     |
|7     |201905          |201910         |17     |
|3     |201907          |201908         |17     |
|5     |201909          |201912         |16     |
|5     |201907          |201910         |16     |
|8     |201906          |201912         |16     |
|6     |201910          |202002         |15     |
|6     |201907          |201911         |15     |
|7     |201912          |202006         |14     |
|4     |201907          |201909         |14     |
|7     |201909          |202002         |13     |
|7     |201904          |201909         |13     |
|8     |201908          |202002         |13     |
|5     |201904          |201907         |13     |
|3     |201908          |201909         |12     |
|10    |201904          |201912         |12     |
|5     |201908          |201911         |11     |
|3     |201910          |201911         |11     |
|5     |201905          |201908         |11     |
|6     |201905          |201909         |10     |
|3     |201904          |201905         |9      |
|9     |201905          |201912         |9      |
|13    |201904          |202003         |8      |
|4     |201905          |201907         |8      |
|3     |201905          |201906         |8      |
|5     |201911          |202002         |8      |
|7     |201910          |202003         |8      |
|6     |201904          |201908         |7      |
|10    |201907          |202003         |6      |
|4     |201904          |201906         |6      |
|6     |201911          |202003         |6      |
|8     |201909          |202003         |6      |
|8     |201905          |201911         |6      |
|5     |201912          |202003         |6      |
|15    |201903          |202004         |6      |
|5     |201906          |201909         |5      |
|6     |201906          |201910         |5      |
|5     |202002          |202006         |5      |
|3     |201906          |201907         |5      |
|4     |201906          |201908         |5      |
|4     |201909          |201911         |4      |
|11    |201906          |202003         |4      |
|8     |201910          |202004         |3      |
|8     |201911          |202006         |3      |
|14    |201904          |202004         |3      |
|3     |201909          |201910         |3      |
|7     |201906          |201911         |3      |
|6     |202001          |202006         |3      |
|16    |201903          |202005         |2      |
|12    |201905          |202003         |2      |
|13    |201906          |202006         |2      |
|12    |201907          |202006         |2      |
|6     |201912          |202004         |2      |
|11    |201907          |202004         |1      |
|9     |201910          |202005         |1      |
|12    |201906          |202004         |1      |
|14    |201905          |202006         |1      |
|9     |201910          |202006         |1      |
|9     |201908          |202003         |1      |
|13    |201906          |202005         |1      |
|5     |202002          |202005         |1      |
|5     |202001          |202004         |1      |
|7     |201911          |202004         |1      |
+------+----------------+---------------+-------+
